address,adm_district,city_district,lattitude,longitude
"город Москва, Каширское шоссе, дом 96, корпус 1",Южный,Орехово-Борисово Северное,55.6148254,37.7122357
"город Москва, улица Бехтерева, дом 27",Южный,Царицыно,55.6258738,37.6483642
"город Москва, Кустанайская улица, дом 6",Южный,Зябликово,55.6194861,37.7522135
"город Москва, Шипиловский проезд, дом 37, корпус 1",Южный,Орехово-Борисово Северное,55.6132638,37.6963423
"город Москва, Ореховый бульвар, дом 22",Южный,Зябликово,55.6126327,37.7361703
"город Москва, Ряжская улица, дом 13, корпус 1",Южный,Бирюлево Восточное,55.5901284,37.6702576
"город Москва, Элеваторная улица, дом 19",Южный,Бирюлево Восточное,55.6030567,37.6622293
"город Москва, Каширское шоссе, дом 64, корпус 1",Южный,Москворечье-Сабурово,55.6436594,37.6742126
"город Москва, Нагатинская улица, дом 4, корпус 1",Южный,Нагатино-Садовники,55.6798149,37.6300648
"город Москва, Лебедянская улица, дом 9",Южный,Бирюлево Восточное,55.5877436,37.6673968
"город Москва, Каширское шоссе, дом 24",Южный,Москворечье-Сабурово,55.6564433,37.6431196
"город Москва, Ореховый бульвар, дом 28",Южный,Зябликово,55.6166738,37.7639616
"город Москва, Бакинская улица, дом 26",Южный,Царицыно,55.6188197,37.653953
"город Москва, улица Генерала Белова, дом 4",Южный,Орехово-Борисово Северное,55.6233007,37.7148795
"город Москва, 6-я Радиальная улица, дом 10",Южный,Бирюлево Восточное,55.6095273,37.6636249
"город Москва, Каширское шоссе, дом 31",Южный,Москворечье-Сабурово,55.6498363,37.6643357
"город Москва, улица Академика Миллионщикова, дом 20",Южный,Нагатино-Садовники,55.6662552,37.644447
"город Москва, Варшавское шоссе, дом 39",Южный,Нагатино-Садовники,55.684473,37.624121
"город Москва, Каширское шоссе, дом 24, строение 3",Южный,Москворечье-Сабурово,55.6548585,37.6466904
"город Москва, Варшавское шоссе, дом 39А",Южный,Нагатино-Садовники,55.686284,37.624022
"город Москва, улица Москворечье, дом 31, корпус 2",Южный,Москворечье-Сабурово,55.6458716,37.6597908
"город Москва, Кантемировская улица, дом 7, корпус 1",Южный,Царицыно,55.635936,37.6728004
"город Москва, Кантемировская улица, дом 7, корпус 1",Южный,Царицыно,55.635936,37.6728004
"город Москва, Промышленная улица, дом 11, строение 2",Южный,Царицыно,55.6339996,37.6299842
"город Москва, Бирюлёвская улица, дом 38, строение 3",Южный,Бирюлево Восточное,55.5881029,37.6641581
"город Москва, Бирюлёвская улица, дом 38",Южный,Бирюлево Восточное,55.5886816,37.6633372
"город Москва, Автозаводская улица, дом 15",Южный,Даниловский,55.704453,37.655221
"город Москва, Кленовый бульвар, дом 12",Южный,Нагатинский Затон,55.6823489,37.6738108
"город Москва, Воронцовская улица, дом 2/10, строение 1",Центральный,Таганский,55.7404308,37.6541763
"город Москва, Воронцовская улица, дом 2/10, строение 1",Центральный,Таганский,55.7404308,37.6541763
"город Москва, Нижняя Радищевская улица, дом 14/2, строение 1",Центральный,Таганский,55.7418544,37.6525823
"город Москва, Воронцовская улица, дом 6, строение 1",Центральный,Таганский,55.739721,37.6549605
"город Москва, Воронцовская улица, дом 6, строение 1",Центральный,Таганский,55.739721,37.6549605
"город Москва, Народная улица, дом 4, строение 1",Центральный,Таганский,55.7394937,37.6517016
"город Москва, Нижняя Радищевская улица, дом 5, строение 2",Центральный,Таганский,55.7418469,37.653382
"город Москва, Нижняя Радищевская улица, дом 5, строение 2",Центральный,Таганский,55.7418469,37.653382
"город Москва, улица Трофимова, дом 27, корпус 2, строение 5",Юго-восточный,Южнопортовый,55.7043135,37.6803538
"город Москва, Восточная улица, дом 4, корпус 1",Южный,Даниловский,55.714365,37.6579641
"город Москва, Судостроительная улица, дом 44, строение 1",Южный,Нагатинский Затон,55.6859644,37.6933487
"город Москва, Коломенская улица, дом 5, корпус 3",Южный,Нагатинский Затон,55.6827218,37.704848
"город Москва, проспект Андропова, дом 48, строение 2",Южный,Нагатино-Садовники,55.6696725,37.6603414
"город Москва, Нагатинская улица, дом 25, строение 1",Южный,Нагатино-Садовники,55.678599,37.6509209
"город Москва, Якорная улица, дом 6",Южный,Нагатинский Затон,55.6869196,37.6820964
"город Москва, Якорная улица, дом 6",Южный,Нагатинский Затон,55.6869196,37.6820964
"город Москва, улица Ленинская Слобода, дом 17",Южный,Даниловский,55.7097073,37.6563407
"город Москва, улица Ленинская Слобода, дом 17",Южный,Даниловский,55.7097073,37.6563407
"город Москва, Нагатинская улица, дом 22, корпус 1",Южный,Нагатино-Садовники,55.6776115,37.6542571
"город Москва, Автозаводская улица, дом 21",Южный,Даниловский,55.7027237,37.6517029
"город Москва, Нагатинская улица, дом 31",Южный,Нагатино-Садовники,55.6777943,37.6588388
"город Москва, Судостроительная улица, дом 32, корпус 3",Южный,Нагатинский Затон,55.6821065,37.687597
"город Москва, Коломенская набережная, дом 16",Южный,Нагатинский Затон,55.677157,37.7000349
"город Москва, улица Садовники, дом 13",Южный,Нагатино-Садовники,55.6724383,37.6573651
"город Москва, 1-й Кожуховский проезд, дом 17",Южный,Даниловский,55.708057,37.6639151
"город Москва, Высокая улица, дом 6",Южный,Нагатино-Садовники,55.6791174,37.6544708
"город Москва, Кленовый бульвар, дом 21",Южный,Нагатинский Затон,55.6766444,37.6812646
"город Москва, Судостроительная улица, дом 10, корпус 1",Южный,Нагатинский Затон,55.6793398,37.6718378
"город Москва, улица Ленинская Слобода, дом 17, строение 2",Южный,Даниловский,55.7094202,37.6572125
"город Москва, улица Ленинская Слобода, дом 17, строение 2",Южный,Даниловский,55.7094202,37.6572125
"город Москва, Судостроительная улица, дом 29",Южный,Нагатинский Затон,55.6831942,37.6809932
"город Москва, Судостроительная улица, дом 29",Южный,Нагатинский Затон,55.6831942,37.6809932
"город Москва, проспект Андропова, дом 37",Южный,Нагатинский Затон,55.6730412,37.6646829
"город Москва, проспект Андропова, дом 37",Южный,Нагатинский Затон,55.6730412,37.6646829
"город Москва, проспект Андропова, дом 37",Южный,Нагатинский Затон,55.6730412,37.6646829
"город Москва, Судостроительная улица, дом 23, корпус 1",Южный,Нагатинский Затон,55.6822076,37.6776435
"город Москва, проспект Андропова, дом 48",Южный,Нагатино-Садовники,55.6693828,37.6606333
"город Москва, улица Садовники, дом 3",Южный,Нагатино-Садовники,55.6773959,37.651848
"город Москва, Коломенская набережная, дом 18, строение 4",Южный,Нагатинский Затон,55.6773326,37.6969069
"город Москва, Гончарная набережная, дом 9/16, строение 3",Центральный,Таганский,55.737562,37.6487229
"город Москва, Таганская площадь, дом 12, строение 5",Центральный,Таганский,55.7401357,37.6542634
"город Москва, Таганская площадь, дом 12, строение 5",Центральный,Таганский,55.7401357,37.6542634
"город Москва, Таганская площадь, дом 12, строение 5",Центральный,Таганский,55.7401357,37.6542634
